time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
1/30/2019 23:00,0.3716,888.248106373626,3.1935,303.8911,7.66E-159,272.8996,1468.60390637362,63.4714350336836,0,,63471.4350336836,-3.42
1/31/2019 0:00,0.3716,889.517402197802,4.3339,297.4933,4.79E-160,272.8996,1464.6158021978,66.7876034688183,0,,66787.6034688183,-3.42
1/31/2019 1:00,0.3716,890.786698021978,2.9653,294.2944,2.99E-161,278.1477,1466.56569802197,71.5903451493922,0,,71590.3451493922,-3.42
1/31/2019 2:00,0.3716,892.055993846154,1.9389,287.8968,1.87E-162,267.6515,1449.91479384615,78.0700017780629,0,,78070.0017780629,-3.42
1/31/2019 3:00,0.3716,893.32528967033,2.6233,294.2944,1.17E-163,278.1477,1468.76228967033,77.1580311239672,0,,77158.0311239672,-3.42
1/31/2019 4:00,0.3716,894.594585494506,4.562,291.0956,7.30E-165,272.8996,1463.5233854945,47.6191801087587,0,,47619.1801087587,-3.42
1/31/2019 5:00,0.3716,895.863881318682,1.939,291.0956,4.57E-166,278.1477,1467.41778131868,80.2875552688432,0,,80287.5552688432,-3.42
1/31/2019 6:00,0.3716,897.133177142858,2.8513,287.8968,2.85E-167,278.1477,1466.40057714285,93.8042590922395,0,,93804.2590922395,-3.42
1/31/2019 7:00,0.7433,898.402472967034,2.5091,316.6866,1.78E-168,267.6515,1485.99297296703,106.927492759754,0,,106927.492759754,-3.42
1/31/2019 8:00,1.20815,899.67176879121,4.7901,463.8339,1.11E-169,404.1013,1773.60521879121,105.2694205213,3.76445396075358,,105269.4205213,3764.45396075358
1/31/2019 9:00,0.5576,900.941064615386,2.053,550.2029,6.97E-171,419.8456,1873.60016461538,79.7664731476029,7.01700692440242,,79766.4731476029,7017.00692440242
1/31/2019 10:00,0.6506,902.210360439562,3.1935,403.0556,4.35E-172,372.6128,1681.72286043956,63.4075145909147,8.58982597446948,,63407.5145909147,8589.82597446948
1/31/2019 11:00,0.789899999999999,903.479656263738,2.053,348.6752,2.72E-173,362.1167,1617.11445626373,45.5553056515418,9.35910607710236,,45555.3056515418,9359.10607710236
1/31/2019 12:00,0.3716,904.748952087914,4.7901,310.2889,1.70E-174,362.1168,1582.31635208791,34.6618055636351,9.39666732740153,,34661.8055636351,9396.66732740153
1/31/2019 13:00,0.6506,906.01824791209,2.2811,303.8911,1.06E-175,362.1168,1574.95784791209,9.49671018038483,8.76594343627862,,9496.71018038484,8765.94343627862
